label,radial_disp_um,xdisp_mm,ydisp_mm,src_radius_mm,hits_TL,hits_ML,hits_BL,hits_TR,hits_MR,hits_BR

r-400_x-5_y-5_R1.25,-400,-5,-5,1.25,95995037,102168204,102792980,91675764,93761179,99086850

r-400_x-5_y-5_R15,-400,-5,-5,15,95956128,102291522,102749230,91765960,93724219,99228105

r-400_x-5_y-2.5_R1.25,-400,-5,-2.5,1.25,97666909,102238158,101078729,93477196,93798707,97173670

r-400_x-5_y-2.5_R15,-400,-5,-2.5,15,97625929,102387084,101018642,93583162,93786672,97302697

r-400_x-5_y0_R1.25,-400,-5,0,1.25,99363315,102274049,99377863,95326201,93824592,95325209

r-400_x-5_y0_R15,-400,-5,0,15,99319381,102393366,99313837,95425498,93813913,95429701

r-400_x-5_y2.5_R1.25,-400,-5,2.5,1.25,101087879,102244585,97684016,97199937,93829679,93477226

r-400_x-5_y2.5_R15,-400,-5,2.5,15,101036968,102362571,97639605,97304698,93793116,93573993

r-400_x-5_y5_R1.25,-400,-5,5,1.25,102823110,102150722,96002609,99108405,93750893,91690285

r-400_x-5_y5_R15,-400,-5,5,15,102749833,102286789,95953557,99218115,93730057,91766485

r-400_x-2.5_y-5_R1.25,-400,-2.5,-5,1.25,95172613,99800096,101837910,92748287,95583364,100351794

r-400_x-2.5_y-5_R15,-400,-2.5,-5,15,95130794,99913548,101757220,92827636,95542846,100456927

r-400_x-2.5_y-2.5_R1.25,-400,-2.5,-2.5,1.25,96814121,99872093,100153643,94586306,95648959,98386709

r-400_x-2.5_y-2.5_R15,-400,-2.5,-2.5,15,96767269,99987218,100087705,94681273,95592447,98506815

r-400_x-2.5_y0_R1.25,-400,-2.5,0,1.25,98453510,99907096,98466277,96460085,95654011,96447384

r-400_x-2.5_y0_R15,-400,-2.5,0,15,98422611,100015197,98413980,96584633,95619219,96568717

r-400_x-2.5_y2.5_R1.25,-400,-2.5,2.5,1.25,100138820,99871300,96807050,98402143,95657230,94571122

r-400_x-2.5_y2.5_R15,-400,-2.5,2.5,15,100080080,99995107,96771035,98523078,95615913,94679968

r-400_x-2.5_y5_R1.25,-400,-2.5,5,1.25,101836354,99808866,95164181,100341149,95594636,92741915

r-400_x-2.5_y5_R15,-400,-2.5,5,15,101782189,99926158,95129209,100479279,95566646,92848108

